newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
0.505,0.504,0.5225,0.2865,0.2865,0.3055,0.3055,0.3115,598
0.501,0.4965,0.5075,0.3065,0.3065,0.336,0.336,0.314,267
0.487,0.4985,0.49,0.311,0.311,0.3315,0.3315,0.321,276
0.496,0.4725,0.499,0.3235,0.3235,0.3305,0.3305,0.3395,195
0.4885,0.5125,0.508,0.3175,0.3175,0.328,0.328,0.338,608
0.5015,0.499,0.501,0.305,0.305,0.325,0.325,0.3195,201
0.461,0.5235,0.4945,0.3065,0.3065,0.312,0.312,0.3165,230
0.5025,0.507,0.508,0.326,0.326,0.3435,0.3435,0.3485,612
0.474,0.4775,0.513,0.311,0.311,0.319,0.319,0.332,284
0.492,0.4895,0.5085,0.319,0.319,0.3335,0.3335,0.3315,755
0.4935,0.4865,0.4815,0.308,0.308,0.312,0.312,0.326,190
0.4925,0.5235,0.527,0.3145,0.3145,0.3175,0.3175,0.3265,787
0.5105,0.4825,0.5015,0.313,0.313,0.3375,0.3375,0.3215,858
0.492,0.477,0.491,0.317,0.317,0.316,0.316,0.3205,575
0.514,0.5255,0.4935,0.324,0.324,0.3385,0.3385,0.3385,41
0.5125,0.518,0.5225,0.315,0.315,0.3305,0.3305,0.33,192
0.473,0.482,0.4825,0.3075,0.3075,0.3205,0.3205,0.315,493
0.5015,0.503,0.511,0.314,0.314,0.3295,0.3295,0.335,647
0.51,0.5285,0.4805,0.3125,0.3125,0.3185,0.3185,0.3335,682
0.487,0.502,0.496,0.3055,0.3055,0.318,0.318,0.322,363
0.488,0.512,0.513,0.3,0.3,0.314,0.314,0.309,649
0.506,0.4875,0.489,0.3235,0.3235,0.3365,0.3365,0.317,853
0.476,0.4885,0.4705,0.3005,0.3005,0.3385,0.3385,0.3145,80
0.487,0.4705,0.4835,0.3145,0.3145,0.327,0.327,0.322,877
0.492,0.5105,0.5065,0.3,0.3,0.3155,0.3155,0.309,236
0.511,0.5075,0.518,0.304,0.304,0.3115,0.3115,0.309,87
0.4745,0.488,0.4935,0.303,0.303,0.3275,0.3275,0.305,246
0.485,0.5005,0.5105,0.33,0.33,0.3335,0.3335,0.3485,165
0.4925,0.4855,0.489,0.3055,0.3055,0.315,0.315,0.3165,826
0.483,0.503,0.496,0.29,0.29,0.311,0.311,0.3125,204
0.5205,0.5215,0.5115,0.314,0.314,0.3375,0.3375,0.326,43
0.486,0.4895,0.495,0.328,0.328,0.34,0.34,0.337,281
0.4835,0.4925,0.5045,0.3205,0.3205,0.3225,0.3225,0.329,265
0.503,0.5115,0.5205,0.304,0.304,0.3275,0.3275,0.316,768
0.484,0.4965,0.5085,0.3385,0.3385,0.344,0.344,0.344,539
0.4985,0.4945,0.501,0.3255,0.3255,0.322,0.322,0.326,4
0.493,0.508,0.4905,0.3095,0.3095,0.3365,0.3365,0.3255,602
0.4885,0.503,0.513,0.3335,0.3335,0.339,0.339,0.338,909
0.487,0.4825,0.4835,0.318,0.318,0.325,0.325,0.3185,21
0.508,0.4735,0.5045,0.3135,0.3135,0.3355,0.3355,0.3285,573
0.5075,0.51,0.5045,0.323,0.323,0.328,0.328,0.341,703
0.483,0.508,0.4755,0.318,0.318,0.3295,0.3295,0.318,560
0.4805,0.473,0.494,0.2935,0.2935,0.3145,0.3145,0.3035,50
0.4975,0.5245,0.496,0.3,0.3,0.3095,0.3095,0.3145,714
0.479,0.484,0.4815,0.3175,0.3175,0.3375,0.3375,0.3345,207
0.4975,0.5185,0.516,0.2895,0.2895,0.307,0.307,0.2965,390
