newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
1.0465393209866834e-10,2.3784501504143078e-11,9.463461911040268e-11,-0.025942841492851233,-0.025942841492851233,-0.9332017756428145,-0.9332017756428145,-1.8934623060224738,61,0.5754
1.1505282403873052e-12,8.123039219209591e-12,-4.0048509803208723e-11,-0.00363391368287766,-0.00363391368287766,-1.3668640163963814,-1.3668640163963814,-4.143954118560975,30,0.0912
-3.207160123445754e-12,4.168364346634068e-12,6.474686463174181e-13,-0.008437837012742075,-0.008437837012742075,-0.3071360619770202,-0.3071360619770202,-0.6992480253858657,66,0.0174
1.0574966969632292e-10,-3.555759100960784e-11,-4.882123991503764e-11,-0.011606777936514677,-0.011606777936514677,-1.7210869131498903,-1.7210869131498903,-5.174889274163631,228,0.1905
8.638878530457376e-11,1.2290949520075626e-10,7.189018084371024e-11,-0.0028452510612481208,-0.0028452510612481208,-1.2752077574665033,-1.2752077574665033,-4.447820130345787,182,0.0912
1.2581465180969717e-10,4.292269153807561e-12,3.168013824100955e-11,-0.013955424989930892,-0.013955424989930892,-1.593314522294079,-1.593314522294079,-4.653339080264302,214,0.2754
-6.154430383471629e-11,-4.7138209715894426e-11,1.0275395838212987e-11,-0.0037662651574277687,-0.0037662651574277687,-1.5641217033279342,-1.5641217033279342,-5.085186290429466,57,0.1318
9.217780416624899e-12,-9.887047583563583e-12,-7.042744812700045e-11,-0.007259504233550937,-0.007259504233550937,-0.1364838137395318,-0.1364838137395318,-0.12769699656502265,47,0.0100
-6.35611790028309e-11,-5.5040902721915755e-11,-1.528488563393407e-11,-0.014224171563868189,-0.014224171563868189,-0.5308219263170597,-0.5308219263170597,-1.4601128794818992,95,0.0302
-3.8577615163248615e-11,4.1789053283984256e-11,4.333522366545677e-11,-0.034255530685496235,-0.034255530685496235,-0.4953559158777691,-0.4953559158777691,-1.6312970361611514,211,0.0302
-3.867780816606468e-11,-4.7197950631556244e-11,-9.473407189874904e-11,-0.00010839303666708266,-0.00010839303666708266,-0.21665564084950414,-0.21665564084950414,-0.49695062998876516,227,0.0145
