newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
-0.27493160937990574,-0.05933368812355125,-0.35119686819904894,-0.466989126603709,-0.19956972684752258,-1.019951309600285,-0.7485913832499784,-0.49734464167438014,10,6
-0.2812639510220332,-0.0826585830940979,-0.3547586530799903,-0.4966393357692812,-0.1690697372028751,-1.0755031248781421,-0.7911176604072682,-0.539265150529268,12,79
4.63135343270471e-11,2.9719177299658564e-11,9.917424385191831e-11,-0.02429894095398565,-0.02429894095398565,-1.4018988055150658,-1.4018988055150658,-3.4692062532603742,2,17
-0.2815871236624326,-0.09630033839149926,-0.3439987907367562,-0.42926720696447257,-0.139007724074399,-0.9382138948360218,-0.702951883449583,-0.4773122125356983,12,2
-0.30903722217925417,-0.10742349362136987,-0.3895674231049779,-0.49313815123620225,-0.15116862093771194,-1.0059848659331279,-0.7699073896577884,-0.5409384703426049,14,5
-0.4294321512278624,-0.11675223541050629,-0.5256078130969576,-0.628321964635601,-0.1876378352733194,-1.1437553325593888,-0.9279306235856672,-0.69841679678476,18,33
-0.24974223385948885,-0.0736352365277147,-0.3179023524190845,-0.46404245605235545,-0.19682434413629407,-1.0219571399289913,-0.7389220345744385,-0.48508737340835695,10,56
-0.35663478533057524,-0.09658653934800202,-0.44934239823511757,-0.5639870584191786,-0.17904899354502885,-1.1028917104104599,-0.8608983398313502,-0.6128290105921619,14,14
-0.2682316881065738,-0.053805715220309136,-0.33761405142204476,-0.4296691183155269,-0.1700940196792173,-0.9701495089121364,-0.7132922737045142,-0.47647222599124084,10,41
-0.1723447943023752,-0.08424150904480042,-0.21574477706916725,-0.29349932669337103,-0.11766697284543519,-0.8848333513123451,-0.6166893870278043,-0.31214104210696303,8,91
-0.3950610747467782,-0.11760987870387155,-0.4946008679394038,-0.5800044898014969,-0.1536072404520583,-1.1089338328962732,-0.883920172552244,-0.6469878762213201,16,98
-0.25744789927157025,-0.10502184094328511,-0.33878119027837905,-0.42259499904913544,-0.15682671124466044,-0.9226718429207799,-0.6965689821316446,-0.46991747605917805,12,33
-0.30721111355708813,-0.0647772485099193,-0.3766479809937589,-0.49613935341395676,-0.15149279410309882,-1.0620010595266727,-0.8035784491819652,-0.5502775127680211,12,13
-0.15073557745961763,-0.047524502494630735,-0.16618359152840026,-0.24393251912992872,-0.12957985020563978,-1.1750570499277924,-0.8333781196852839,-0.3997503697731577,6,84
-0.2698168949959933,-0.10056732958895702,-0.3478453885290356,-0.43623926030358345,-0.14043239582056696,-0.9525506130588054,-0.7242752419775659,-0.47692417356313965,12,22
-0.21106991128832464,-0.05416471132312478,-0.26902055721803037,-0.357683232938957,-0.13444364814739557,-1.0370792709114718,-0.7365847492579128,-0.396004531286139,8,31
-0.1402626292217162,-0.014964615930705428,-0.13916002570716313,-0.15099293487206322,-0.08871475441569972,-1.41914189523517,-1.1090161080111338,-1.022406473950808,4,66
-0.2667001179981002,-0.13867076038324813,-0.3342915773018473,-0.4175351115104055,-0.10066219228764253,-0.8643667964343427,-0.660936404342067,-0.461590525879123,14,84
-0.3346835531232923,-0.1468721413456326,-0.42210791392923896,-0.5038065652720886,-0.13406884182386533,-0.9972647743005251,-0.7864824035540994,-0.5699477690366327,16,19
-0.36983261529379513,-0.10734363895320327,-0.4620771785775395,-0.6147675063572384,-0.17770785057154545,-1.2065809391416824,-0.944968407776264,-0.6868172892883085,16,33
-0.24468750706766693,-0.11338029876779981,-0.3246982050817194,-0.44753136401571547,-0.15087193357158737,-0.9564635174610095,-0.7078396846227154,-0.4631700275955681,12,54
-0.10714595915636276,-0.010001738849674776,-0.11669082078557033,-0.15100060680035954,-0.08929226363806347,-1.5505982338457267,-1.2051199704130908,-0.9624805997858256,4,94
