newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
0.412,0.032,0.043,0.043,0.042,0.0,0.015,0.08,18,53
0.386,0.124,0.141,0.107,0.106,0.013,0.056,0.149,10,93
0.393,0.058,0.092,0.067,0.074,0.004,0.033,0.104,14,41
0.404,0.113,0.133,0.095,0.109,0.014,0.068,0.161,10,24
0.385,0.033,0.061,0.039,0.046,0.0,0.011,0.077,18,14
0.467,0.258,0.292,0.244,0.255,0.089,0.157,0.258,6,8
0.462,0.245,0.238,0.199,0.201,0.059,0.122,0.243,6,88
0.39,0.053,0.074,0.04,0.053,0.0,0.013,0.084,14,40
0.356,0.055,0.075,0.072,0.066,0.003,0.03,0.111,14,32
0.406,0.061,0.08,0.079,0.068,0.0,0.018,0.111,14,93
0.516,0.491,0.459,0.329,0.329,0.398,0.398,0.409,2,32
0.385,0.055,0.075,0.059,0.063,0.003,0.026,0.112,14,29
0.464,0.238,0.241,0.206,0.214,0.068,0.14,0.252,6,70
0.41,0.06,0.084,0.061,0.067,0.0,0.021,0.097,14,39
0.352,0.034,0.052,0.035,0.036,0.0,0.009,0.066,18,1
0.355,0.032,0.038,0.029,0.026,0.0,0.005,0.052,18,26
0.422,0.189,0.199,0.154,0.165,0.03,0.093,0.188,8,48
0.389,0.052,0.065,0.054,0.06,0.002,0.025,0.091,14,13
0.384,0.051,0.079,0.061,0.053,0.001,0.024,0.095,14,36
0.452,0.238,0.248,0.225,0.23,0.072,0.149,0.246,6,56
0.458,0.477,0.473,0.345,0.345,0.382,0.382,0.435,2,33
0.388,0.092,0.093,0.083,0.078,0.007,0.045,0.116,12,60
0.493,0.513,0.5,0.354,0.354,0.382,0.382,0.403,2,7
0.395,0.081,0.13,0.102,0.103,0.007,0.047,0.148,12,29
0.432,0.159,0.178,0.142,0.141,0.025,0.081,0.178,8,92
0.448,0.271,0.279,0.229,0.235,0.073,0.146,0.237,6,82
0.512,0.342,0.337,0.296,0.306,0.17,0.221,0.294,4,63
0.491,0.495,0.53,0.34,0.34,0.372,0.372,0.423,2,64
0.43,0.184,0.188,0.162,0.175,0.025,0.097,0.203,8,61
0.515,0.341,0.341,0.282,0.28,0.155,0.199,0.269,4,86
0.517,0.331,0.328,0.279,0.289,0.164,0.22,0.307,4,14
0.414,0.189,0.203,0.155,0.165,0.032,0.11,0.207,8,3
0.374,0.028,0.036,0.051,0.032,0.0,0.012,0.064,18,38
0.398,0.095,0.125,0.105,0.103,0.006,0.054,0.135,10,45
0.428,0.114,0.136,0.097,0.099,0.009,0.052,0.137,10,20
0.379,0.077,0.098,0.096,0.077,0.009,0.039,0.134,12,8
0.457,0.242,0.25,0.215,0.231,0.065,0.145,0.257,6,69
0.365,0.037,0.051,0.045,0.043,0.003,0.014,0.072,16,85
0.436,0.245,0.262,0.234,0.238,0.073,0.158,0.271,6,1
0.489,0.492,0.499,0.344,0.344,0.377,0.377,0.433,2,1
0.36,0.051,0.078,0.058,0.054,0.003,0.017,0.085,14,98
0.4,0.044,0.066,0.064,0.062,0.004,0.024,0.098,14,74
0.392,0.022,0.047,0.037,0.038,0.0,0.011,0.071,18,28
0.383,0.039,0.062,0.053,0.05,0.002,0.021,0.084,16,45
0.359,0.034,0.05,0.039,0.042,0.0,0.012,0.062,18,74
0.418,0.158,0.179,0.161,0.149,0.028,0.093,0.199,8,70
0.376,0.062,0.08,0.058,0.056,0.001,0.026,0.096,14,11
0.391,0.042,0.051,0.046,0.041,0.0,0.008,0.073,16,6
0.431,0.249,0.253,0.204,0.224,0.066,0.147,0.243,6,15
0.426,0.108,0.122,0.122,0.108,0.007,0.048,0.154,10,66
0.39,0.028,0.042,0.046,0.038,0.0,0.012,0.067,18,91
0.389,0.062,0.084,0.063,0.065,0.001,0.028,0.096,14,50
0.413,0.06,0.072,0.051,0.048,0.003,0.022,0.081,14,9
0.447,0.24,0.247,0.192,0.201,0.062,0.129,0.22,6,45
0.404,0.026,0.045,0.033,0.031,0.0,0.006,0.06,18,19
0.498,0.338,0.34,0.303,0.316,0.171,0.246,0.305,4,83
0.398,0.13,0.154,0.147,0.131,0.022,0.073,0.178,10,13
0.384,0.02,0.035,0.033,0.028,0.0,0.006,0.066,18,8
0.385,0.046,0.069,0.053,0.058,0.002,0.024,0.089,14,48
0.445,0.257,0.261,0.231,0.245,0.078,0.159,0.276,6,81
0.398,0.125,0.122,0.115,0.108,0.008,0.052,0.141,10,46
0.398,0.168,0.199,0.157,0.161,0.029,0.096,0.202,8,30
0.408,0.044,0.061,0.065,0.056,0.001,0.024,0.087,16,14
0.383,0.065,0.079,0.072,0.068,0.001,0.028,0.111,14,66
0.412,0.261,0.253,0.224,0.219,0.07,0.148,0.253,6,95
0.429,0.177,0.181,0.148,0.154,0.024,0.089,0.179,8,57
0.478,0.492,0.479,0.351,0.351,0.373,0.373,0.421,2,65
0.411,0.121,0.134,0.107,0.109,0.013,0.052,0.149,10,35
0.403,0.032,0.045,0.039,0.038,0.0,0.01,0.071,18,12
0.393,0.046,0.069,0.065,0.062,0.003,0.029,0.104,14,35
0.401,0.079,0.097,0.081,0.081,0.006,0.039,0.127,12,20
