newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,M,rep
0.3075,0.62625,0.2995,0.26275,0.2725,0.23325,0.2325,0.25475,20000,29
0.3925,0.63,0.359,0.3025,0.3275,0.259,0.2655,0.298,10000,59
0.2474,0.6277,0.2427,0.2463,0.2573,0.2108,0.2028,0.2324,50000,67
0.315,0.637,0.30375,0.27275,0.2855,0.232,0.23425,0.26425,20000,43
0.42733333333333334,0.6233333333333333,0.39066666666666666,0.2986666666666667,0.318,0.25333333333333335,0.266,0.292,7500,89
0.395,0.56,0.355,0.415,0.52,0.46,0.47,0.465,1000,44
0.2415,0.6157,0.2358,0.2373,0.2489,0.2064,0.2006,0.2292,50000,42
0.445,0.61,0.42,0.365,0.415,0.48,0.47,0.445,1000,74
0.2465,0.6221,0.2395,0.2395,0.2584,0.2072,0.203,0.2263,50000,23
0.3895,0.599,0.364,0.313,0.3305,0.2685,0.275,0.31,10000,24
0.2589,0.6177,0.2506,0.2524,0.2679,0.2155,0.2094,0.2375,50000,14
0.426,0.6293333333333333,0.38466666666666666,0.2926666666666667,0.306,0.25533333333333336,0.25933333333333336,0.298,7500,97
0.32275,0.64,0.313,0.2665,0.282,0.23475,0.23525,0.26375,20000,28
0.2468,0.6196,0.2445,0.2456,0.2614,0.2094,0.2028,0.2294,50000,56
0.2532,0.6157,0.2479,0.2516,0.2679,0.2075,0.2071,0.2324,50000,77
0.30575,0.632,0.29975,0.2725,0.28725,0.23625,0.23925,0.26075,20000,6
0.2605,0.6166,0.2549,0.2537,0.2677,0.2145,0.2113,0.2382,50000,62
0.46,0.594,0.428,0.356,0.402,0.324,0.338,0.39,2500,27
0.386,0.6095,0.362,0.31,0.3275,0.2485,0.263,0.2995,10000,93
0.402,0.6065,0.372,0.3125,0.318,0.265,0.2755,0.302,10000,46
0.29525,0.64475,0.29,0.25925,0.271,0.22125,0.21975,0.2475,20000,45
0.43066666666666664,0.608,0.4,0.338,0.34933333333333333,0.2866666666666667,0.2906666666666667,0.33266666666666667,7500,75
0.406,0.6075,0.379,0.3075,0.3205,0.2615,0.2625,0.298,10000,7
0.2513,0.6183,0.2447,0.2471,0.2635,0.2079,0.2021,0.2302,50000,95
0.2568,0.6175,0.2504,0.2528,0.2722,0.2167,0.2097,0.2398,50000,74
0.426,0.602,0.39866666666666667,0.32866666666666666,0.3606666666666667,0.2986666666666667,0.302,0.3353333333333333,7500,3
0.46,0.548,0.464,0.406,0.446,0.318,0.356,0.404,2500,91
0.251,0.6218,0.2448,0.2442,0.2591,0.2093,0.2047,0.2306,50000,53
0.43,0.5993333333333334,0.4093333333333333,0.324,0.338,0.2793333333333333,0.2826666666666667,0.32466666666666666,7500,85
0.3995,0.595,0.378,0.2955,0.3125,0.259,0.264,0.2905,10000,3
0.475,0.655,0.42,0.39,0.405,0.455,0.455,0.4,1000,33
0.2603,0.6116,0.2556,0.2573,0.2711,0.217,0.2126,0.2401,50000,60
0.2487,0.6303,0.2401,0.2383,0.2564,0.2066,0.2035,0.2248,50000,83
0.4,0.625,0.395,0.39,0.41,0.495,0.5,0.42,1000,60
0.2557,0.6195,0.25,0.2465,0.2671,0.2129,0.2071,0.2346,50000,3
0.30725,0.629,0.30125,0.27475,0.28375,0.23825,0.2435,0.27025,20000,21
0.2475,0.6268,0.2424,0.2443,0.2609,0.2076,0.2051,0.2318,50000,59
0.476,0.558,0.446,0.412,0.452,0.326,0.324,0.412,2500,48
0.43066666666666664,0.6046666666666667,0.3973333333333333,0.3253333333333333,0.34,0.27,0.2886666666666667,0.31266666666666665,7500,42
0.51,0.65,0.44,0.365,0.47,0.425,0.425,0.45,1000,27
0.393,0.6195,0.366,0.303,0.3215,0.257,0.2645,0.299,10000,50
